,id,name,slug,st_x,st_y,district,state,region,panchayat,sub_district_type_id,sub_district_name
139,649,Kafadkhan,649-kafadkhan,29.8514748,79.7743314,Bageshwar,Uttarakhand,,,4.0,Bageshwar
140,357,Amba Chhota,357-amba-chhota,21.9592225,74.2502122,Alirajpur,Madhya Pradesh,,,1.0,
141,417,Amrikhowa Gaon,417-amrikhowa-gaon,26.3304209,91.0040547,Barpeta,Assam,,,1.0,Barpeta
142,137,Kochi,137-kochi,9.9312328,76.2673041,Ernakulam,Kerala,,,,
143,140,Mekhadi,140-mekhadi,21.2549271,70.0361717000001,Jūnāgadh,Gujarat,,,,
144,84,Thrissur,84-thrissur,10.5276416,76.2144349,Thrissur,Kerala,,,,
145,108,Udaipur,108-udaipur,24.58,73.6800000000001,Udaipur,Rajasthan,,,,
146,620,Dholabari,620-dholabari,26.8648542,88.7421831,Jalpaiguri,West Bengal,,,1.0,Mal
147,650,Halalpur,650-halalpur,23.1235776,88.5455778,Nadia,West Bengal,,,1.0,Ranaghat II
148,648,Kausani,648-kausani,29.8514748,79.7743314,Bageshwar,Uttarakhand,,,4.0,Almora
149,653,Arabpur,653-arabpur,23.9742977,88.6265475,Nadia,West Bengal,,,1.0,Karimpur I
150,654,Dhodhiya,654-dhodhiya,23.5461394,74.4349761,Banswara,Rajasthan,,,4.0,Banswara
151,652,Chifaltara,652-chifaltara,29.653384,80.0395205,Pithoragarh,Uttarakhand,,,4.0,Dharchula
152,656,Cheeppumkal,656-cheeppumkal,9.6703602,76.5608746,Kottayam,Kerala,,,1.0,Ettumanoor
153,647,Subarnapur,647-subarnapur,26.8648542,88.7421831,Jalpaiguri,West Bengal,,,1.0,Mal
154,651,Ghoshpara,651-ghoshpara,23.1235776,88.5455778,Nadia,West Bengal,,,1.0,Ranaghat II
155,657,Kanpuri,657-kanpuri,22.0363157,74.903339,Barwani,Madhya Pradesh,,,4.0,Niwari
156,658,Mitaru,658-mitaru,29.653384,80.0395205,Pithoragarh,Uttarakhand,,,4.0,Kanalichina
157,644,Angua,644-angua,21.9088379,87.2692942,Paschim Medinipur,West Bengal,,,1.0,Dantan I
158,636,Kudavechoor,636-kudavechoor,9.6655484,76.4187059,Kottayam,Kerala,,,1.0,Vaikom
159,659,Kathalakkandi,659-kathalakkandi,11.0554152,76.6528225,Palakkad,Kerala,,,1.0,Attappadi
160,661,Purushkheda,661-purushkheda,22.0363157,74.903339,Barwani,Madhya Pradesh,,,4.0,Niwari
161,662,Srichandrapur,662-srichandrapur,24.3575023,87.8426967,Birbhum,West Bengal,,,1.0,Sriniketan
162,645,Haripur,645-haripur,23.9742977,88.6265475,Nadia,West Bengal,,,1.0,Karimpur I
163,660,Halalpur-Krishnapur,660-halalpur-krishnapur,23.1235776,88.5455778,Nadia,West Bengal,,,1.0,Ranaghat II
164,665,Tiratha,665-tiratha,19.0870758,82.0235715,Bastar,Chhattisgarh,,,4.0,Jagdalpur
165,667,Thana Para,667-thana-para,23.9742977,88.6265475,Nadia,West Bengal,,,1.0,Karimpur II
166,668,Thoppipala,668-thoppipala,9.7568348,77.116864,Idukki,Kerala,,,1.0,Kattappana
167,670,Joynabad,670-joynabad,23.9742977,88.6265475,Nadia,West Bengal,,,1.0,Karimpur II
168,672,Bahirgachi,672-bahirgachi,23.1235776,88.5455778,Nadia,West Bengal,,,1.0,Ranaghat II
169,641,Aladi,641-aladi,9.7568348,77.116864,Idukki,Kerala,,,1.0,Kattappana
170,673,Thanar More,673-thanar-more,23.2645399,88.4380966,Nadia,West Bengal,,,1.0,Santipur
171,664,Mairang,664-mairang,25.5624625,91.2891036,West Khasi Hills,Meghalaya,,,1.0,Mairang
172,675,Jarebendri,675-jarebendri,19.0870758,82.0235715,Bastar,Chhattisgarh,,,4.0,Kondagaon
173,671,Dahar,671-dahar,22.1737936,87.3809471,Paschim Medinipur,West Bengal,,,1.0,Narayangarh
174,674,Bathangachi,674-bathangachi,23.2645399,88.4380966,Nadia,West Bengal,,,1.0,Santipur
175,669,Bagdunda,669-bagdunda,24.7521631,73.5270189,Udaipur,Rajasthan,,,4.0,Gogunda
176,639,Maslandapur,639-maslandapur,22.6168099,88.402895,North 24 Parganas,West Bengal,,,1.0,Habra
177,1178,Kathura,1178-kathura,29.0857983,76.5820544,Sonipat,Haryana,,,1.0,Kathura
178,676,Bunga Mehra,676-bunga-mehra,29.4041783,80.0842224,Champawat,Uttarakhand,,,4.0,Lohaghat
179,981,Siroda,981-siroda,15.3213249,74.0358876,North Goa,Goa,,,3.0,Ponda
180,695,Rautara,695-rautara,22.6168099,88.402895,North 24 Parganas,West Bengal,,,1.0,Habra
181,68,Pudukottai,68-pudukottai,8.7368745,78.0509282,Thoothukudi,Tamil Nadu,,,,
182,26,Idukki,26-idukki,9.8138076,76.9297354,Idukki,Kerala,,,,
183,712,Old (Kshetra) Mahabaleshwar,712-old-kshetra-mahabaleshwar,17.9627309944069,73.6623001098633,Satara,Maharashtra,,,3.0,Mahabaleshwar
184,53,Yavatmal,53-yavatmal,20.3887937,78.1204073,Yavatmal,Maharashtra,,,,
185,97,Angul,97-angul,20.8444033,85.1510817999999,Anugul,Odisha,,,,
186,678,Upputhara,678-upputhara,9.7568348,77.116864,Idukki,Kerala,,,1.0,Kattappana
187,74,Nuapada,74-nuapada,20.8167,82.5333000000001,Nuapada,Odisha,,,,
188,723,Bera Para,723-bera-para,22.4671065,87.970232,Howrah,West Bengal,,,1.0,Bagnan I
189,679,Muktarpur,679-muktarpur,23.9742977,88.6265475,Nadia,West Bengal,,,1.0,Karimpur II
190,83,Morena,83-morena,26.5,78.0,Morena,Madhya Pradesh,,,,
191,105,Loej,105-loej,21.1675642,70.0674332999999,Jūnāgadh,Gujarat,,,,
192,104,Singrauli,104-singrauli,24.202,82.6659999999999,Sidhi,Madhya Pradesh,,,,
193,677,Khal Dhar,677-khal-dhar,23.047858,88.5130144,Nadia,West Bengal,,,1.0,Chakdaha
194,681,Vechoor,681-vechoor,9.6638679,76.4447397,Kottayam,Kerala,,,1.0,Vaikom
195,682,Umran,682-umran,25.7468085,91.8891675,Ri Bhoi,Meghalaya,,,1.0,Umsning
196,683,Dunaghat,683-dunaghat,29.4041783,80.0842224,Champawat,Uttarakhand,,,4.0,Lohaghat
197,684,Mahisbathan,684-mahisbathan,23.9742977,88.6265475,Nadia,West Bengal,,,1.0,Karimpur II
